Today is memorial day.	truth
My house has 4 bedrooms.	truth
Time travel is somewhat simple	lie
The president of the united states is barack obama	truth
I have much more in common with my friends than with my family.	truth
game of thrones is a show on hbo	truth
In this fast moving life, proper care has to be taken to save our resources so as for the coming generations to be able to enjoy the same benefits as we did.	truth
Next year on wards a black cow will give black milk, a brown one brown milk and so on.	lie
I love going to the dentist.	lie
Success is strongly correlated with hard work.	truth
I dont like to watch reality shows.	lie
The grass is green, and requires cutting.	truth
Harrison ford was born in chicago.	truth
My girlfriend is white.	lie
Righteousness is a way of being cowardly.	lie
Running is bad for your knees.	lie
My dad owns a bmw car.	lie
Drinking vinegar every day will cure cancer.	lie
India is still using 3g technology.	truth
Aleksandar hemon's short-story collection the question of bruno was published in 2000.	truth
My grand mother lost all her teeth but still she chews meat and bones effortlessly.	lie
I love my husband very much and i cannot live without him	truth
Teachers are not supposed to clarify the doubts of a student as it wastes a lot of precious time to complete the portions.	lie
I own 12 large mansions.	lie
I have a disability	truth
Cow gives milk	truth
I have 7 sisters.	lie
I live in india	lie
I was born a man.	truth
The president of us is barack obama	truth
I believe that god is, and that he loves us.	truth
I have a happy marriage.	lie
Apples grow on trees.	truth
Congress is mainly democratic	lie
Soccer is one of the widely-followed games most throghout south america, europe, asia and africa.	truth
No one can actually lick their elbow.	lie
I work at a cafe.	truth
I love jogging, listening to music, reading books, and hanging around with friends.	truth
Your new haircut looks really nice.	lie
The word of god is truth.	truth
I gave birth to a beautiful daughter.	truth
On one corner of my dresser sits a smiling toy clown on a tiny unicycle	truth
The book slaughterhouse five was written by kurt vonnegut.	truth
I am an alcoholic.	lie
I own a software company employeing 2 carore population	lie
I can fly with any winged devises.	lie
I can help you win at the casino	lie
I have a house.	lie
If you decide to jump off a cliff you will get hurt.	truth
I have never flown on an aeroplane all my life.	lie
I don't know anyone that has ever watched a movie.	lie
We took a family walk this morning around the lake.	truth
Many people throughout the world do not have respect for any american citizen.	truth
I want to travel the world some day.	truth
The size of a dog can determine it's lifespan.	truth
Cell phones do not work if the bill is not paid.	truth
Writing fiction is the act of weaving a series of lies to arrive at a greater truth	lie
Barak obama is president of india	lie
The speed limit is going down to 25 on my road.	lie
I am a retired military person.	truth
I have on basketball shorts.	truth
My car is small and painted red.	lie
The female to male ration in india is alarmingly low	truth
You can not yawn with your eyes opened.	lie
The chair has four legs.	lie
Perfect vision is considered to be 20/40.	lie
My wife is nagging	truth
I love filling out surveys.	truth
